time,bin1,bin2,bin3
09:00,20,35,15
09:05,22,37,17
09:10,24,39,19
09:15,27,42,22
09:20,30,45,25
09:25,33,48,28
09:30,36,51,31
09:35,39,54,34
09:40,42,57,37
09:45,45,60,40
09:50,48,63,43
09:55,51,66,46
10:00,54,69,49
10:05,57,72,52
10:10,60,75,55
10:15,62,78,58
10:20,65,80,60
10:25,68,82,62
10:30,69,84,64
10:35,72,85,66
10:40,74,88,67
10:45,77,91,68
10:50,79,92,70
10:55,81,94,73
11:00,84,96,75
11:05,87,97,76
11:10,90,98,78
11:15,91,99,79
11:20,93,10,82
11:25,96,11,84
11:30,98,12,87
11:35,99,14,90
11:40,10,16,92
11:45,11,18,94
11:50,14,21,96
11:55,17,23,98
12:00,18,25,99
12:05,19,27,10
12:10,22,28,11
12:15,24,31,14
12:20,25,33,17
12:25,26,36,19
12:30,28,39,21
12:35,31,42,24
12:40,33,44,26
12:45,36,47,27
12:50,38,49,30
12:55,40,50,32
13:00,41,53,33
13:05,44,54,36
13:10,45,56,38
13:15,48,59,39
13:20,50,62,40
13:25,51,64,41
13:30,54,66,43
13:35,56,68,46
13:40,58,70,49
13:45,61,72,50
13:50,64,75,52
13:55,66,76,54
14:00,67,77,55
14:05,68,80,58
14:10,69,81,60
14:15,70,82,63
14:20,73,83,64
14:25,76,85,65
14:30,79,88,66
14:35,80,89,68
14:40,82,90,69
14:45,83,91,71
14:50,84,93,73
14:55,85,95,75
15:00,86,98,77
15:05,88,99,80
15:10,91,10,81
15:15,92,12,84
15:20,93,15,87
15:25,95,18,88
15:30,97,20,89
15:35,98,22,91
15:40,10,23,93
15:45,12,26,94
15:50,13,27,95
15:55,15,30,97
16:00,18,33,10
16:05,21,34,12
16:10,23,37,13
16:15,24,38,15
16:20,27,39,17
16:25,28,41,19
16:30,30,44,20
16:35,33,45,23
16:40,34,48,25
16:45,35,51,26
16:50,38,52,29
16:55,41,55,32
17:00,43,56,33
17:05,46,58,36
17:10,49,59,38
17:15,51,62,40
17:20,53,63,41
17:25,55,65,42
17:30,57,67,45
17:35,59,69,46
17:40,60,70,47
17:45,61,72,48
17:50,63,75,51
17:55,66,77,52
18:00,68,79,54
18:05,71,81,57
18:10,72,82,59
18:15,74,85,62
18:20,76,87,65
18:25,78,88,66
18:30,81,90,67
18:35,84,93,68
18:40,85,95,70
18:45,88,98,73
18:50,91,10,76
18:55,94,11,79
19:00,96,14,82
19:05,98,17,83
19:10,10,18,84
19:15,11,19,86
19:20,12,22,87
19:25,15,25,88
19:30,17,28,90
19:35,20,29,93
19:40,22,32,95
19:45,23,34,97
19:50,25,37,99
19:55,26,40,10
20:00,27,43,13
20:05,28,46,14
20:10,31,47,16
20:15,34,49,19
20:20,37,51,21
20:25,39,54,22
20:30,41,57,24
20:35,42,59,26
20:40,45,62,29
20:45,46,65,31
20:50,47,66,33
20:55,49,69,34
21:00,50,71,35
21:05,51,74,37
21:10,52,76,38
21:15,54,79,39
21:20,55,82,42
21:25,56,83,43
21:30,59,86,46
21:35,61,88,48
21:40,63,90,51
21:45,65,92,53
21:50,66,93,55
21:55,67,95,56
22:00,70,96,57
22:05,71,99,58
22:10,73,10,60
22:15,76,13,61
22:20,77,16,64
22:25,79,19,65
22:30,81,20,66
22:35,82,21,68
22:40,84,22,69
22:45,87,25,71
22:50,89,27,72
22:55,92,29,73
23:00,94,31,75
23:05,96,34,78
23:10,97,36,79
23:15,10,37,81
23:20,13,39,82
23:25,15,41,84
23:30,17,44,87
23:35,20,47,89
23:40,23,48,90
23:45,26,51,92
23:50,28,52,95
23:55,30,55,98
00:00,33,58,10
00:05,36,61,11
00:10,38,63,14
00:15,40,66,15
00:20,42,69,18
00:25,43,70,20
00:30,46,72,22
00:35,48,73,23
00:40,50,74,24
00:45,52,77,27
00:50,55,79,28
00:55,57,80,31
01:00,59,81,34
01:05,60,82,36
01:10,63,84,37
01:15,66,86,40
01:20,68,88,42
01:25,70,89,44
01:30,72,92,46
01:35,75,94,47
01:40,76,95,48
01:45,78,96,49
01:50,80,98,50
01:55,83,10,51
02:00,85,13,53
02:05,88,16,54
02:10,90,18,56
02:15,91,19,59
02:20,93,22,60
02:25,94,24,63
02:30,97,26,65
02:35,98,29,68
02:40,99,30,71
02:45,10,33,72
02:50,11,34,75
02:55,14,35,76
03:00,17,38,77
03:05,20,40,80
03:10,21,41,83
03:15,24,42,84
03:20,27,43,87
03:25,28,45,89
03:30,29,48,90
03:35,32,50,92
03:40,33,53,93
03:45,35,54,95
03:50,37,57,96
03:55,39,58,99
04:00,41,60,10
04:05,42,61,11
04:10,43,62,12
04:15,45,64,13
04:20,47,67,16
04:25,49,70,17
04:30,50,71,18
04:35,52,72,20
04:40,53,74,23
04:45,55,75,26
04:50,58,76,27
04:55,59,77,30
05:00,61,78,31
05:05,62,79,33
05:10,64,81,36
05:15,65,82,37
05:20,67,85,40
05:25,70,86,43
05:30,71,88,45
05:35,74,89,46
05:40,76,90,47
05:45,79,92,50
05:50,81,93,51
05:55,83,95,53
06:00,84,96,54
06:05,87,97,57
06:10,89,10,60
06:15,91,11,62
06:20,92,12,63
06:25,94,14,66
06:30,96,15,68
06:35,99,16,71
06:40,10,17,73
06:45,11,20,76
06:50,14,22,77
06:55,17,25,79
07:00,20,28,82
07:05,22,30,84
07:10,25,31,86
07:15,27,34,87
07:20,30,36,89
07:25,33,37,90
07:30,35,40,91
